ID,Overall_Experience
99900001,1
99900002,1
99900003,1
99900004,0
99900005,1
99900006,1
99900007,0
99900008,1
99900009,0
99900010,0
99900011,1
99900012,1
99900013,1
99900014,0
99900015,0
99900016,0
99900017,0
99900018,0
99900019,1
99900020,1
99900021,0
99900022,1
99900023,0
99900024,1
99900025,0
99900026,0
99900027,1
99900028,1
99900029,0
99900030,0
99900031,1
99900032,1
99900033,1
99900034,1
99900035,1
99900036,1
99900037,1
99900038,1
99900039,1
99900040,0
99900041,0
99900042,0
99900043,1
99900044,0
99900045,0
99900046,0
99900047,1
99900048,1
99900049,0
99900050,0
99900051,1
99900052,1
99900053,0
99900054,1
99900055,1
99900056,0
99900057,0
99900058,1
99900059,1
99900060,1
99900061,0
99900062,1
99900063,0
99900064,1
99900065,1
99900066,0
99900067,0
99900068,0
99900069,0
99900070,0
99900071,1
99900072,1
99900073,1
99900074,1
99900075,1
99900076,1
99900077,1
99900078,0
99900079,0
99900080,0
99900081,1
99900082,0
99900083,0
99900084,0
99900085,0
99900086,1
99900087,1
99900088,0
99900089,1
99900090,0
99900091,1
99900092,1
99900093,1
99900094,0
99900095,1
99900096,1
99900097,0
99900098,1
99900099,1
99900100,1
99900101,1
99900102,1
99900103,1
99900104,1
99900105,1
99900106,0
99900107,1
99900108,1
99900109,1
99900110,1
99900111,1
99900112,1
99900113,1
99900114,1
99900115,1
99900116,1
99900117,1
99900118,1
99900119,1
99900120,1
99900121,0
99900122,0
99900123,1
99900124,1
99900125,0
99900126,1
99900127,0
99900128,0
99900129,1
99900130,0
99900131,0
99900132,0
99900133,1
99900134,0
99900135,1
99900136,1
99900137,1
99900138,0
99900139,1
99900140,0
99900141,0
99900142,0
99900143,0
99900144,0
99900145,0
99900146,1
99900147,1
99900148,1
99900149,1
99900150,1
99900151,1
99900152,0
99900153,1
99900154,0
99900155,0
99900156,0
99900157,1
99900158,1
99900159,0
99900160,1
99900161,1
99900162,1
99900163,1
99900164,0
99900165,1
99900166,1
99900167,1
99900168,1
99900169,1
99900170,1
99900171,0
99900172,1
99900173,0
99900174,1
99900175,1
99900176,1
99900177,0
99900178,0
99900179,0
99900180,1
99900181,1
99900182,1
99900183,1
99900184,1
99900185,0
99900186,0
99900187,1
99900188,1
99900189,1
99900190,1
99900191,0
99900192,0
99900193,1
99900194,0
99900195,1
99900196,1
99900197,1
99900198,1
99900199,1
99900200,1
99900201,1
99900202,0
99900203,1
99900204,0
99900205,1
99900206,0
99900207,1
99900208,1
99900209,0
99900210,0
99900211,1
99900212,1
99900213,1
99900214,0
99900215,1
99900216,1
99900217,0
99900218,1
99900219,0
99900220,1
99900221,0
99900222,1
99900223,0
99900224,1
99900225,1
99900226,1
99900227,1
99900228,0
99900229,0
99900230,1
99900231,1
99900232,1
99900233,1
99900234,0
99900235,1
99900236,1
99900237,1
99900238,0
99900239,1
99900240,0
99900241,1
99900242,0
99900243,1
99900244,0
99900245,1
99900246,1
99900247,1
99900248,1
99900249,1
99900250,1
99900251,1
99900252,0
99900253,1
99900254,0
99900255,1
99900256,0
99900257,1
99900258,1
99900259,0
99900260,0
99900261,1
99900262,1
99900263,0
99900264,1
99900265,1
99900266,1
99900267,1
99900268,0
99900269,1
99900270,1
99900271,1
99900272,1
99900273,0
99900274,0
99900275,1
99900276,0
99900277,1
99900278,0
99900279,1
99900280,1
99900281,1
99900282,1
99900283,0
99900284,1
99900285,1
99900286,0
99900287,1
99900288,1
99900289,1
99900290,1
99900291,1
99900292,1
99900293,0
99900294,1
99900295,1
99900296,1
99900297,1
99900298,1
99900299,1
99900300,0
99900301,1
99900302,1
99900303,1
99900304,1
99900305,1
99900306,1
99900307,1
99900308,1
99900309,0
99900310,0
99900311,1
99900312,1
99900313,1
99900314,1
99900315,0
99900316,1
99900317,0
99900318,0
99900319,0
99900320,1
99900321,1
99900322,1
99900323,1
99900324,0
99900325,1
99900326,1
99900327,0
99900328,1
99900329,1
99900330,1
99900331,0
99900332,0
99900333,0
99900334,1
99900335,1
99900336,1
99900337,0
99900338,0
99900339,0
99900340,1
99900341,0
99900342,1
99900343,1
99900344,0
99900345,0
99900346,0
99900347,1
99900348,1
99900349,1
99900350,0
99900351,1
99900352,1
99900353,1
99900354,0
99900355,0
99900356,1
99900357,1
99900358,1
99900359,1
99900360,1
99900361,1
99900362,1
99900363,1
99900364,1
99900365,1
99900366,0
99900367,1
99900368,0
99900369,1
99900370,1
99900371,1
99900372,0
99900373,1
99900374,1
99900375,0
99900376,1
99900377,0
99900378,1
99900379,0
99900380,0
99900381,0
99900382,0
99900383,0
99900384,1
99900385,1
99900386,1
99900387,0
99900388,0
99900389,1
99900390,0
99900391,0
99900392,1
99900393,0
99900394,0
99900395,1
99900396,1
99900397,1
99900398,0
99900399,1
99900400,1
99900401,1
99900402,0
99900403,1
99900404,1
99900405,1
99900406,1
99900407,1
99900408,0
99900409,1
99900410,1
99900411,1
99900412,0
99900413,1
99900414,0
99900415,1
99900416,1
99900417,1
99900418,1
99900419,1
99900420,1
99900421,0
99900422,1
99900423,1
99900424,1
99900425,1
99900426,0
99900427,0
99900428,0
99900429,1
99900430,1
99900431,1
99900432,1
99900433,0
99900434,1
99900435,1
99900436,0
99900437,0
99900438,1
99900439,0
99900440,0
99900441,1
99900442,1
99900443,0
99900444,1
99900445,0
99900446,1
99900447,1
99900448,1
99900449,0
99900450,0
99900451,1
99900452,1
99900453,1
99900454,1
99900455,1
99900456,1
99900457,0
99900458,1
99900459,1
99900460,0
99900461,1
99900462,0
99900463,1
99900464,1
99900465,0
99900466,1
99900467,0
99900468,0
99900469,1
99900470,1
99900471,1
99900472,1
99900473,1
99900474,1
99900475,1
99900476,1
99900477,1
99900478,0
99900479,1
99900480,1
99900481,0
99900482,1
99900483,1
99900484,1
99900485,1
99900486,0
99900487,0
99900488,1
99900489,0
99900490,0
99900491,1
99900492,1
99900493,0
99900494,1
99900495,1
99900496,1
99900497,1
99900498,1
99900499,0
99900500,1
99900501,1
99900502,0
99900503,1
99900504,1
99900505,1
99900506,1
99900507,1
99900508,1
99900509,1
99900510,1
99900511,0
99900512,1
99900513,1
99900514,1
99900515,1
99900516,0
99900517,1
99900518,0
99900519,0
99900520,1
99900521,1
99900522,1
99900523,0
99900524,0
99900525,1
99900526,0
99900527,0
99900528,1
99900529,1
99900530,1
99900531,1
99900532,1
99900533,1
99900534,1
99900535,1
99900536,1
99900537,1
99900538,1
99900539,1
99900540,1
99900541,0
99900542,1
99900543,1
99900544,0
99900545,1
99900546,1
99900547,0
99900548,1
99900549,1
99900550,0
99900551,0
99900552,0
99900553,0
99900554,1
99900555,1
99900556,1
99900557,1
99900558,1
99900559,1
99900560,1
99900561,0
99900562,1
99900563,1
99900564,1
99900565,0
99900566,1
99900567,1
99900568,0
99900569,1
99900570,0
99900571,1
99900572,1
99900573,1
99900574,1
99900575,1
99900576,1
99900577,0
99900578,1
99900579,1
99900580,1
99900581,1
99900582,1
99900583,0
99900584,1
99900585,1
99900586,1
99900587,1
99900588,1
99900589,0
99900590,1
99900591,1
99900592,0
99900593,1
99900594,1
99900595,1
99900596,0
99900597,1
99900598,0
99900599,1
99900600,1
99900601,1
99900602,1
99900603,1
99900604,1
99900605,1
99900606,1
99900607,1
99900608,1
99900609,0
99900610,0
99900611,1
99900612,1
99900613,1
99900614,1
99900615,0
99900616,1
99900617,1
99900618,0
99900619,1
99900620,0
